ID;Perioden;DubaiFatehLoco_1;NorthSeaBrentLoco_2;WTILoco_3;Gasolie_4;DollarkoersEuroUS_5;EurokoersUSEuro_6
0;1996;18.49;20.26;21.73;189;0.77;1.3
1;1997 1ekwartaal;19.43;21.28;22.74;189;0.88;1.14
2;1997 2e kwartaal;17.5;18.52;20.03;167;0.88;1.14
3;1997 3e kwartaal;17.7;18.63;19.83;167;0.92;1.09
4;1997 4e kwartaal;18.02;19.08;19.98;174;0.9;1.11
5;1997;18.16;19.11;20.65;174;0.88;1.13
6;1998 1e kwartaal;12.57;14.77;16.03;137;0.93;1.07
7;1998 2e kwartaal;12.36;14.09;14.87;127;0.9;1.11
8;1998 3e kwartaal;12.46;13.04;14.12;114;0.9;1.11
9;1998 4e kwartaal;11.6;11.82;12.99;107;0.85;1.18
10;1998;12.25;13.43;14.5;121;0.9;1.11
11;1999 1e kwartaal;11.07;11.51;13.03;104;0.89;1.12
12;1999 2e kwartaal;15.29;15.86;17.64;127;0.95;1.05
13;1999 3e kwartaal;19.68;20.68;21.65;169;0.95;1.05
14;1999 4e kwartaal;22.72;23.89;24.55;198;0.97;1.03
15;1999;17.19;17.99;19.22;149;0.94;1.06
16;2000 1e kwartaal;24.41;26.68;28.53;219;1.02;0.98
17;2000 2e kwartaal;24.94;26.76;28.31;222;1.08;0.93
18;2000 3e kwartaal;27.74;30.59;31.41;278;1.11;0.9
19;2000 4e kwartaal;27.74;30.07;31.78;286;1.15;0.87
20;2000;26.21;28.53;30.01;251;1.09;0.92
21;2001 1e kwartaal;23.72;26.42;28.6;223;1.08;0.92
22;2001 2e kwartaal;25.14;27.61;28.05;231;1.15;0.87
23;2001 3e kwartaal;24.16;25.86;26.66;227;1.12;0.89
24;2001 4e kwartaal;18.38;19.98;20.44;178;1.12;0.9
25;2001;22.85;24.97;25.94;215;1.12;0.9
26;2002 1e kwartaal;20.11;21.6;21.61;174;1.14;0.88
27;2002 2e kwartaal;24.34;25.45;26.1;202;1.09;0.92
28;2002 3e kwartaal;25.55;26.61;27.94;223;1.02;0.98
29;2002 4e kwartaal;25.09;26.56;28.0;231;1.0;1.0
30;2002;23.77;25.06;25.91;208;1.06;0.94
31;2003 1e kwartaal;28.12;30.92;33.9;282;0.93;1.07
32;2003 2e kwartaal;24.51;26.25;28.84;222;0.88;1.14
33;2003 3e kwartaal;26.51;28.23;30.22;238;0.89;1.12
34;2003 4e kwartaal;27.6;29.3;30.97;259;0.84;1.19
35;2003;26.69;28.67;30.98;250;0.89;1.13
36;2004 1e kwartaal;29.4;31.43;35.03;272;0.8;1.25
37;2004 2e kwartaal;33.19;35.29;38.22;309;0.83;1.2
38;2004 3e kwartaal;36.16;41.01;43.57;376;0.82;1.22
39;2004 4e kwartaal;35.73;44.56;48.2;430;0.77;1.3
40;2004;33.62;38.07;41.26;347;0.81;1.24
41;2005 1e kwartaal;41.47;47.86;49.77;429;0.76;1.31
42;2005 2e kwartaal;47.79;52.49;53.1;484;0.79;1.26
43;2005 3e kwartaal;55.55;61.65;63.1;572;0.82;1.22
44;2005 4e kwartaal;52.52;57.29;59.86;543;0.84;1.19
45;2005;49.33;54.82;56.46;507;0.8;1.24
46;2006 1e kwartaal;58.09;62.33;63.21;543;0.83;1.2
47;2006 2e kwartaal;65.21;70.25;70.5;617;0.8;1.26
48;2006 3e kwartaal;66.49;70.77;70.67;619;0.79;1.27
49;2006 4e kwartaal;58.0;60.69;60.33;540;0.78;1.29
50;2006;61.95;66.01;66.18;580;0.8;1.26
51;2007 1e kwartaal;56.04;58.52;58.01;518;0.76;1.31
52;2007 2e kwartaal;65.12;68.58;65.02;598;0.74;1.35
53;2007 3e kwartaal;69.87;74.43;75.0;653;0.73;1.37
